"","year","longitude","latitude","bottom_depth","peak_timing","SSTcumanom45","spring_ice_fraction","ice_retreat_timing","bloom_type","bsregion"
"98",1998,-159.377202084321,57.7572880176964,-43.2243996390806,109,-7.13536805555556,0.448885885885886,67,"ice_free","2"
"103",1998,-173.427296276147,58.2468580007639,-124.302550881377,141,-88.9744388888889,0.127989252645503,58,"ice_free","8"
"104",1998,-172.484581859085,58.2576176600542,-105.344412813532,141,-64.8176361111111,0.37798767921147,61,"ice_free","8"
"105",1998,-171.753356211329,58.2378396202223,-101.171687658523,141,-27.9098680555556,0.517528514309764,74,"ice_free","6"
"107",1998,-169.456341391631,58.2302951191346,-81.4185520361991,165,-16.4512902777778,0.666464371980676,76,"ice_free","6"
"108",1998,-168.505867170333,58.3427460127018,-72.5511389320995,165,-6.71533888888889,0.723012626262626,74,"ice_free","6"
"109",1998,-167.660423851956,58.3056156411575,-56.0984576220425,157,-15.2640027777778,0.760723460378984,73,"ice_free","6"
"110",1998,-166.435447004427,58.2400554793986,-54.1795735129068,157,-19.0709291666667,0.774225584215168,72,"ice_free","2"
"111",1998,-165.446206037876,58.294979298871,-46.1616669105764,93,-14.9607458333333,0.775385590277778,70,"ice_free","2"
"112",1998,-164.523247953831,58.2374074919225,-42.2267675588754,133,-13.4824638888889,0.754194622507123,69,"ice_free","2"
"113",1998,-163.298891858518,58.2750688902761,-35.6300249492433,117,-15.3288958333333,0.696535375118708,69,"ice_free","2"
"114",1998,-162.508649930634,58.2311982976259,-39.5447163786395,117,-18.5294694444444,0.572341761633428,69,"ice_free","2"
"125",1998,-173.415357632283,58.7128208703024,-130.206118972441,141,-76.9643208333333,0.261631727430556,94,"ice_free","8"
"126",1998,-172.574557246088,58.7029726777333,-121.971018694013,141,-55.8097027777778,0.468332336182336,95,"ice_free","8"
"127",1998,-171.551878561804,58.7795337897019,-95.658378895116,141,-34.3864138888889,0.607603841145833,94,"ice_free","6"
"128",1998,-170.487951527887,58.8398937180184,-94.6992695245134,165,-21.2915736111111,0.624696331908832,95,"ice_free","6"
"129",1998,-169.494300186227,58.8599801432733,-82.0297619047619,165,-6.76375416666667,0.635883120825744,91,"ice_free","6"
"130",1998,-168.69257122363,58.6665549346084,-69.48902288188,165,-8.858825,0.761291075650118,77,"ice_free","7"
"131",1998,-167.461088715407,58.7059757274868,-45.8061568061568,117,-14.7935152777778,0.778991409465021,75,"ice_free","7"
"132",1998,-166.352093553166,58.8355188305428,-40.1209899400117,85,-15.8969847222222,0.780063199827735,73,"ice_full","7"
"133",1998,-165.465426700923,58.7847914133978,-34.0509566050618,117,-12.2292708333333,0.751479717813051,72,"ice_free","2"
"134",1998,-164.477634603253,58.7844585797734,-30.9637070307561,117,-10.9562736111111,0.725992361111111,70,"ice_free","2"
"135",1998,-163.394024500334,58.7180233663267,-25.3425888652352,117,-13.9044111111111,0.685901887464387,69,"ice_free","2"
"141",1998,-176.396117495185,59.1923178808112,-151.042878511637,157,-144.197145833333,0.3645333630649,139,"ice_full","8"
"142",1998,-175.347936729366,59.211199520202,-130.964305755661,141,-114.737165277778,0.34595813604798,118,"ice_free","8"
"143",1998,-174.685226303186,59.2197115056128,-122.949294618613,141,-93.0789611111111,0.385585110780423,114,"ice_free","8"
"144",1998,-173.557305896906,59.2628878362318,-120.947098885051,141,-70.2803708333333,0.480074436635431,113,"ice_free","8"
"145",1998,-172.404967902019,59.1905526890962,-102.531709331399,165,-51.3247763888889,0.64774169973545,100,"ice_free","9"
"146",1998,-171.517889635179,59.1810014988242,-67.5636266223084,141,-33.8389138888889,0.716333433977456,99,"ice_free","9"
"148",1998,-169.630353256508,59.204665740331,-63.09375,165,-11.9131972222222,0.682226164117016,99,"ice_free","6"
"150",1998,-167.346362809681,59.3047246242705,-38.3903571428571,101,-15.7196597222222,0.744481210598897,77,"ice_free","7"
"151",1998,-166.327585214158,59.2873832022728,-30.9313186779054,117,-14.4078055555556,0.729207150205761,75,"ice_free","7"
"152",1998,-165.538559867336,59.2562789338806,-23.8598819202478,117,-15.0968083333333,0.712650032299742,73,"ice_free","7"
"153",1998,-164.474224128115,59.2347159348662,-22.9771470750113,117,-15.0466319444444,0.648200066137566,72,"ice_free","2"
"157",1998,-177.246679637437,59.8007540942922,-151.707161844004,157,-149.251233333333,0.548364478114478,140,"ice_full","8"
"158",1998,-176.660024305703,59.8136447943351,-116.607638888889,157,-125.585951388889,0.601457947530864,138,"ice_full","8"
"159",1998,-175.415749157378,59.695088670959,-123.639816003423,157,-101.502831944444,0.567943990134995,137,"ice_full","8"
"160",1998,-174.46686301763,59.6479496380194,-98.6509386177358,117,-78.6133277777778,0.568303544706322,129,"ice_full","8"
"161",1998,-173.543140229305,59.7303178852436,-113.511722995421,117,-58.3578541666667,0.644823024332472,116,"ice_full","9"
"162",1998,-172.713399535389,59.7815400202961,-114.664081018783,141,-39.0111694444444,0.673885848951361,113,"ice_free","9"
"163",1998,-171.308110761762,59.849236163131,-61.0681652046784,133,-28.4634319444444,0.757835925925926,105,"ice_free","9"
"167",1998,-167.496504143365,59.7843244215069,-32.8761750045997,141,-10.3801513888889,0.548178620784964,97,"ice_free","7"
"168",1998,-166.445288123212,59.5650098413764,-23.9811379097093,93,-12.8441598909387,0.467149502096436,83,"ice_full","7"
"171",1998,-177.222896181191,60.2469025688083,-135.656256739585,157,-114.9318375,0.714756964749838,144,"ice_full","8"
"172",1998,-176.457451400933,60.2168649823533,-138.202710258632,157,-94.3801333333333,0.737952074759945,138,"ice_full","8"
"173",1998,-175.606771469116,60.2122373382251,-120.532118055556,157,-85.7077875,0.743413247536527,139,"ice_full","8"
"174",1998,-174.55155771649,60.2614664936335,-104.371852336825,141,-60.8493111111111,0.709963968933887,137,"ice_full","9"
"175",1998,-173.251583734008,60.2553677025993,-63.0988719557747,149,-40.4828833333333,0.658188226216412,132,"ice_full","9"
"176",1998,-172.604769971694,60.1743861517881,-51.1461898332974,157,-30.2782113704803,0.633380438691118,133,"ice_free","9"
"177",1998,-171.455490387168,60.2143867121704,-58.7753528878529,165,-25.4947388888889,0.748748456790123,117,"ice_free","9"
"181",1998,-167.579085387349,60.2323124547664,-30.2632922936616,141,-3.47491059086863,0.524464886541471,101,"ice_free","11"
"186",1998,-177.248152069943,60.7160569685751,-133.430581613508,157,-95.8894763888889,0.783908224400871,149,"ice_full","8"
"187",1998,-176.648535183904,60.8244375246246,-116.640449627274,157,-70.1475638888889,0.787926374290958,141,"ice_full","8"
"188",1998,-175.618195807988,60.712908709132,-102.072808619752,157,-64.4485736111111,0.771802544334589,148,"ice_full","8"
"189",1998,-174.5,60.7499974568685,-80.2847222222222,157,-59.7258722222222,0.799906588003933,143,"ice_full","9"
"190",1998,-173.348595764105,60.8028449100746,-60.1205510388437,157,-41.7482638888889,0.771249267329256,139,"ice_full","9"
"191",1998,-172.573267026863,60.7995810072565,-63.8944239442394,157,-34.8872471302749,0.761106567215364,138,"ice_full","9"
"192",1998,-171.668290724875,60.7395843180488,-64.2288865546219,157,-29.9902388888889,0.744154981303419,134,"ice_free","9"
"193",1998,-170.674404907227,60.6101166861398,-53.7714285714286,165,-27.1771402777778,0.721907171201814,128,"ice_free","9"
"196",1998,-167.37388671875,60.8363864390055,-26.0447222222222,117,-3.39369722222222,0.596872383942161,103,"ice_full","11"
"201",1998,-177.427735986892,61.2273199801043,-129.412169312169,157,-76.5115583333333,0.821434410391797,151,"ice_full","8"
"202",1998,-176.579492992825,61.1672954824236,-115.090277777778,157,-61.8448666666667,0.806587913074713,146,"ice_full","8"
"203",1998,-175.547653994761,61.2538634574763,-80.6315027755749,157,-52.0261319444444,0.783867853009259,150,"ice_full","10"
"204",1998,-174.602629802266,61.2605848572945,-81.2329804189435,157,-49.0539875,0.825533953943167,146,"ice_full","10"
"205",1998,-173.326388041178,61.2694418589274,-62.8701388888889,157,-42.1122652777778,0.848325867534201,141,"ice_full","10"
"206",1998,-172.69375,61.3062475840251,-51.940625,157,-36.8470125,0.81499006116208,139,"ice_full","10"
"207",1998,-171.835172316607,61.2726688945995,-59.5588235294118,157,-34.9320902777778,0.782956656715126,137,"ice_full","10"
"211",1998,-167.335498862106,61.3442807224184,-23.5042213594845,133,-1.37787222222222,0.60897169044044,104,"ice_free","11"
"214",1998,-178.582017243337,61.7864298917772,-128.475235109718,157,-67.7586236111111,0.861381842592593,155,"ice_full",NA
"215",1998,-177.320497525292,61.7526081070054,-114.441189798666,157,-57.7510472222222,0.852999266975309,150,"ice_full",NA
"216",1998,-176.635626148516,61.7781851407941,-105.336282456381,157,-49.9462152777778,0.839891915954416,147,"ice_full","8"
"217",1998,-175.4871104802,61.7608352186808,-92.2161057950758,157,-42.3039861111111,0.802425523775894,148,"ice_full","10"
"218",1998,-174.562074855882,61.7467024115478,-65.8386125283447,157,-37.3001416666667,0.812512365984405,144,"ice_full","10"
"219",1998,-173.739585876465,61.635414759318,-66.2152777777778,157,-36.0469986111111,0.839789134837963,142,"ice_full","10"
"220",1998,-172.372934180548,61.7916839162081,-58.9169280167264,157,-35.9379055555556,0.824808871371371,141,"ice_full","10"
"221",1998,-171.601255797408,61.8317409075223,-64.3818376068376,157,-36.1225944444444,0.79837861952862,140,"ice_full","10"
"222",1998,-170.770833762295,61.849144073854,-51.6265060240964,157,-29.4912236111111,0.783608410493827,138,"ice_full","10"
"225",1998,-167.422233086186,61.6413307347528,-24.7519936972798,141,1.06449583333333,0.556809220679012,126,"ice_full","11"
"227",1998,-179.483239310128,62.2522687601266,-120.979767126149,157,-61.2068416666667,0.856423799307438,153,"ice_full",NA
"228",1998,-178.5,62.2499974568685,-134.291666666667,157,-52.7986375,0.863177958446251,153,"ice_full",NA
"229",1998,-177.468153441859,62.2449691163582,-104.4908955602,157,-42.9734722222222,0.875000448994253,146,"ice_full",NA
"230",1998,-176.443804498963,62.2372148875937,-97.185759073277,157,-37.3680347222222,0.870950979187152,143,"ice_full",NA
"231",1998,-175.646840616125,62.324071534014,-84.4325684380032,157,-32.0701333333333,0.826529519102436,141,"ice_full","10"
"232",1998,-174.626302310399,62.2200495572317,-68.8695436507936,157,-27.3963055555556,0.802427826622494,139,"ice_full","10"
"233",1998,-173.324404580253,62.2098187946138,-58.7437996031746,157,-27.3539833333333,0.803659189609964,143,"ice_full","10"
"234",1998,-172.729167938232,62.2083307902018,-47.2708333333333,157,-29.5284791666667,0.804722232464766,143,"ice_full","10"
"235",1998,-171.5,62.2499974568685,-46.8194444444444,157,-32.4166055555556,0.781277872474747,140,"ice_full","10"
"236",1998,-170.516893976385,62.2585580583052,-44.2363636363636,157,-32.3000958333333,0.764422676690452,139,"ice_full","10"
"237",1998,-169.726826185591,62.3307559409838,-38.6516853932584,157,-27.1703680555556,0.759838713134431,138,"ice_full","10"
"239",1998,-167.120349188165,62.2977648902725,-22.9557692307692,133,-10.2199,0.649511262464388,134,"ice_full","11"
"241",1998,-179.557904316742,62.817721609035,-104.500107893123,157,-54.0430236111111,0.872606432438795,148,"ice_full",NA
"242",1998,-178.51275613122,62.7917133448535,-91.3139775413712,157,-46.0994333333333,0.876599262397991,148,"ice_full",NA
"243",1998,-177.42666727227,62.8057215328856,-111.880190295815,157,-36.8364097222222,0.890009187561455,143,"ice_full",NA
"244",1998,-176.46739403665,62.7897644047169,-96.8726990941986,157,-30.4142527777778,0.881209772272272,141,"ice_full",NA
"245",1998,-175.58887438928,62.8260821366828,-87.1671750862669,157,-25.1091847222222,0.844573356052812,138,"ice_full",NA
"246",1998,-174.528831799111,62.7916188598815,-80.8057015957358,157,-21.7036541666667,0.80223710776749,138,"ice_full","10"
"247",1998,-173.590990989163,62.8324187917741,-65.1973905723906,157,-21.8823277777778,0.779260588134431,138,"ice_full","10"
"248",1998,-172.708333969116,62.6666638056437,-60.109375,157,-23.1681277777778,0.75217693329904,138,"ice_full","10"
"249",1998,-171.526620424711,62.7889039536827,-46.9675925925926,157,-20.8961111111111,0.698813164437586,138,"ice_full","10"
"250",1998,-170.526234662091,62.7382690853543,-37.2074074074074,157,-20.0627583333333,0.650427550543663,139,"ice_full","10"
"251",1998,-169.576261607879,62.6607389887539,-33.5321100917431,157,-23.0471241710187,0.682824952846365,138,"ice_full","10"
"252",1998,-168.444743944251,62.6775330253269,-29.7391304347826,157,-22.4454875,0.760262580044998,137,"ice_full","11"
"253",1998,-167.411333156962,62.6884535145207,-25.2781385281385,141,-21.9443513888889,0.726255559882312,137,"ice_full","11"
"256",1998,-179.542119081998,63.250520668711,-82.9247215821813,141,-44.963225,0.873275909681611,144,"ice_full",NA
"257",1998,-178.456161331586,63.2779851521837,-94.7211826674617,149,-46.3133388888889,0.877359222709552,144,"ice_full",NA
"258",1998,-177.574412981441,63.2611192348072,-102.979981926458,149,-37.1830888888889,0.876644471075057,143,"ice_full",NA
"259",1998,-176.505499619186,63.3237847358092,-93.9876848625629,141,-29.2740194444444,0.869737696029363,141,"ice_full",NA
"260",1998,-175.567708587646,63.1927061080933,-87.1854166666667,157,-24.6708680555556,0.832091740319865,140,"ice_full",NA
"261",1998,-174.363521072273,63.3020837670042,-76.4770655806182,141,-23.6369180555556,0.789383218654434,139,"ice_full",NA
"262",1998,-173.468873794495,63.2989966322564,-80.0278100738693,141,-20.0238180555556,0.739592356824417,138,"ice_full","12"
"263",1998,-172.714958431805,63.3021561969769,-59.4677677395069,157,-17.9227138888889,0.695974492945326,135,"ice_free","12"
"264",1998,-171.52922650893,63.1260467364634,-48.7410071942446,157,-19.1416283763545,0.511099601938387,137,"ice_full","12"
"265",1998,-170.6664646482,63.1268179069445,-27.6990291262136,157,-23.5266652969194,0.419048630563336,149,"ice_full","12"
"267",1998,-168.305555555556,63.2152751286825,-26.8333333333333,157,-24.7903005117255,0.733967497723133,152,"ice_full","12"
"268",1998,-167.348956194791,63.2215884382074,-25.2272727272727,157,-27.2558013888889,0.77718406986532,140,"ice_full","14"
"269",1998,-166.462632575707,63.2312470006315,-22.319529648494,157,-28.3365027777778,0.663612421383648,136,"ice_free","14"
"271",1998,-179.408666742305,63.7748959571227,-66.7106779907085,141,-30.6414916666667,0.856131502525252,140,"ice_full",NA
"272",1998,-178.478401348754,63.7566608356902,-71.6457040088539,149,-38.3774986111111,0.844997685185185,141,"ice_full",NA
"273",1998,-177.511157102311,63.7682684782459,-81.0671195335041,149,-35.5232291666667,0.836137147564231,141,"ice_full",NA
"274",1998,-176.536490409668,63.7609975703271,-90.9207502954083,149,-29.4286694444444,0.821955629208754,140,"ice_full",NA
"275",1998,-175.529385489307,63.7941154990005,-87.6004579660028,149,-25.9476444444444,0.781474706931702,139,"ice_full",NA
"276",1998,-174.477481124962,63.795082459805,-78.9205592805449,141,-21.3096819444444,0.721864176097394,138,"ice_full",NA
"277",1998,-173.552296759372,63.8503538442389,-67.9296611427816,141,-19.3081055555556,0.672343717549325,137,"ice_full",NA
"278",1998,-172.564400977988,63.8521178070694,-53.9929499072356,141,-21.1553416666667,0.671998485635168,137,"ice_full","12"
"279",1998,-171.758713453943,63.9123911009778,-38.6884340659341,157,-25.4931963253514,0.667758052389997,147,"ice_full","12"
"280",1998,-170.529820136836,63.8943255357163,-34.3592775041051,157,-31.3531208872955,0.699298865176152,153,"ice_full","12"
"281",1998,-169.373211356526,63.8078325637663,-30.1624579124579,157,-33.7997680555556,0.841998372920021,168,"ice_full","12"
"283",1998,-167.376337873826,63.6523293661415,-26.1651376146789,157,-28.6782069444444,0.766994504667269,153,"ice_full","14"
"284",1998,-166.390975500173,63.7219768497875,-25.2531288290601,157,-32.1405944444444,0.704517509768943,139,"ice_full","13"
"286",1998,-179.418099529168,64.2797927040508,-53.3685443135327,141,-16.8143694444444,0.818103920181756,138,"ice_full",NA
"287",1998,-178.495124451781,64.2510543381522,-72.0208544471008,141,-23.4536486111111,0.802395779248875,137,"ice_full",NA
"288",1998,-177.453743067125,64.2663575839647,-74.8425315425315,141,-25.9131694444444,0.784074074074074,137,"ice_full",NA
"289",1998,-176.416321528427,64.2580010212227,-86.3395689345108,141,-24.0866180555556,0.764608399470899,135,"ice_full",NA
"290",1998,-175.411328164738,64.2720935856812,-81.6252184702202,149,-21.5126694444444,0.693687399839744,134,"ice_full",NA
"291",1998,-174.502953883949,64.2707498921687,-69.5281164631463,141,-15.4154986111111,0.620098894032922,138,"ice_full",NA
"292",1998,-173.61063715254,64.1502896871131,-50.9993511407364,125,-16.5245472175859,0.474095957647462,138,"ice_full",NA
"293",1998,-172.488487380857,64.1548746363243,-44.0307477587938,165,-24.6486464608015,0.610627414591315,146,"ice_full",NA
"294",1998,-171.625599146113,64.2581597281009,-45.0799773052442,165,-25.0249736111111,0.779705557604064,143,"ice_free","12"
"295",1998,-170.620217674783,64.3493163990525,-44.8362093815514,157,-27.6544194444444,0.852368500712251,147,"ice_full","12"
"296",1998,-169.367957659886,64.2850169470289,-38.9015995804379,157,-35.2382513888889,0.84277746449457,163,"ice_full","14"
"298",1998,-167.221315440834,64.3315553307337,-26.0098522167488,165,-32.8171069444444,0.748827054170312,157,"ice_full","14"
"304",1998,-179.535009217187,64.780778347223,-53.4076083320871,141,-6.94146666666667,0.789987052180685,137,"ice_full",NA
"305",1998,-178.525890438978,64.7388235491389,-64.7263821926206,141,-13.8778375,0.747072807477289,136,"ice_full",NA
"307",1998,-176.407986944454,64.7765650117585,-61.6360275068322,141,-18.4685388888889,0.652829460470085,134,"ice_full",NA
"308",1998,-175.550187308176,64.7068831315029,-54.4196821057369,141,-17.5637175311949,0.494184639868234,134,"ice_full",NA
"312",1998,-170.562561208425,64.724201228476,-47.9112446581197,157,-30.0452430555556,0.863906755757859,149,"ice_full","12"
"313",1998,-169.480238630298,64.8266756291975,-47.6834142092821,157,-36.0467222222222,0.836365740740741,163,"ice_full","14"
"317",1998,-179.213132114948,65.2149631004545,-51.9824358595403,141,-4.61276869545043,0.493128677743164,137,"ice_full",NA
"318",1998,-178.497159687637,65.2521908534129,-41.6300700926428,141,-9.60980390607713,0.681947830932785,138,"ice_full",NA
"323",1998,-171.281039857403,65.1402074095195,-35.9250257415219,165,-36.9747597222222,0.787022083333333,180,"ice_full",NA
"324",1998,-170.482810843311,65.2273775603842,-39.9951459151459,157,-36.8723125,0.858117913105413,160,"ice_full",NA
"325",1998,-169.567401946939,65.2367255393806,-46.3009025191676,157,-35.9927791666667,0.855508155270655,160,"ice_full","14"
"331",1998,-170.155455151867,65.660793203346,-39.0077815188926,165,-34.6167973547939,0.526991081154684,166,"ice_full",NA
"332",1998,-169.663091405872,65.71990692377,-42.9616165733942,165,-32.7268833333333,0.834718171296296,166,"ice_full",NA
"333",1998,-168.116048459654,65.872683207194,-34.7962962962963,165,-29.0840154040404,0.803724142847558,168,"ice_full",NA
"337",1999,-165.491553117285,54.7503716432185,-168.846659294666,125,-72.2257958333333,0,0,"ice_free","16"
"348",1999,-166.443148997252,55.2181251290995,-136.140635784872,141,-66.9296513888889,0,0,"ice_free","4"
"349",1999,-165.492968636769,55.2507453880291,-117.567847678732,141,-73.4548916666667,0,0,"ice_free","4"
"350",1999,-164.571995848104,55.2645497603885,-92.0920256876805,141,-78.2543875,0,0,"ice_free","1"
"359",1999,-167.581624816538,55.7841713872753,-132.137958471178,141,-62.5958347222222,0,0,"ice_free","4"
"360",1999,-166.30739061269,55.7332397323904,-123.401828906454,141,-69.3350458333333,0,0,"ice_free","4"
"361",1999,-165.543634112913,55.7220779668814,-111.566149425942,157,-73.5937361111111,0,0,"ice_free","4"
"362",1999,-164.4869401079,55.760321988691,-95.14023672205,157,-83.5460458333333,0,0,"ice_free","3"
"363",1999,-163.426013853811,55.7865178448327,-84.5396577596038,149,-96.4513833333333,0,0,"ice_free","1"
"364",1999,-162.58428878928,55.8466334362205,-63.310663994779,93,-112.521763396763,0.123973108747045,77,"ice_full","1"
"374",1999,-167.595372307425,56.1938534185628,-130.595787054155,141,-53.1203125,0,0,"ice_free","4"
"375",1999,-166.391826496935,56.2507074408928,-107.241669102329,149,-60.1975319444444,0,0,"ice_free","3"
"376",1999,-165.562922649404,56.2695382676864,-92.0365808028673,149,-77.1847291666667,0,0,"ice_free","3"
"377",1999,-164.491630721487,56.2297321499561,-87.3543843811663,141,-86.5251916666667,0,0,"ice_free","3"
"378",1999,-163.423934958996,56.2689267802508,-84.599617338872,141,-104.472702777778,0,0,"ice_free","3"
"379",1999,-162.575734581408,56.2624011548645,-76.5730421119245,157,-125.148040277778,0.13527662037037,82,"ice_free","1"
"380",1999,-161.579070289883,56.2565956046864,-58.3077417216012,117,-145.585194444444,0.367501077586207,88,"ice_free","1"
"385",1999,-172.462735176564,56.7912888783862,-148.761233099885,141,-47.1557555555556,0,0,"ice_free","8"
"386",1999,-171.454829938238,56.7877797154498,-139.858034537357,157,-50.2039527777778,0,0,"ice_free","8"
"387",1999,-170.348592277643,56.795655812442,-94.564222711674,141,-50.1742083333333,0,0,"ice_free","5"
"388",1999,-169.556642110527,56.7836520957649,-73.4338150901749,141,-47.8453402777778,0,0,"ice_free","5"
"389",1999,-168.503579109576,56.7525207657038,-93.6189740758261,141,-41.13845,0,0,"ice_free","3"
"390",1999,-167.550160195338,56.7862630484471,-90.2913902199502,149,-37.9602416666667,0,0,"ice_free","3"
"391",1999,-166.465167824764,56.7610997973185,-80.9626039832511,141,-53.3040777777778,0,0,"ice_free","3"
