Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
2019-42,201901,94,187,1,84.84,12.83,226.6,1.2954,2.2504,1.5319,1.2917,2.2564,1.4432,3/26/2021,
2019-43,201901,94,158,1,85.51,14.19,252.1,1.2774,2.4369,1.384,1.271,2.5258,1.4549,3/26/2021,
2019-44,201901,94,158,1,80.65,13.34,203.7,1.2741,2.1784,1.3485,1.2935,2.2146,1.4192,3/26/2021,
2019-45,201901,94,158,1,82.32,13.17,203.1,1.2932,2.1161,1.3535,1.2764,2.8758,1.4408,3/26/2021,
2019-46,201901,94,158,1,89.55,14.24,234.2,1.2808,2.4217,1.3654,1.2716,2.3949,1.4061,3/26/2021,
2019-47,201901,94,155,1,82.08,11.86,208.5,1.2719,2.9605,1.4359,1.2868,2.3383,1.4338,3/26/2021,
2019-5,201902,162,1,1,78.61,12.83,175.1,1.2856,2.3134,1.5314,1.2782,2.3858,1.4358,3/17/2021,
2019-6,201901,162,193,1,80.11,13.21,NA,1.2689,2.2503,1.4828,1.2683,2.5106,1.452,3/17/2021,missing L3 WL and L chela
2019-63,201901,94,158,1,83.08,12.47,215.5,1.2814,3.4028,1.4051,1.2664,2.119,1.3754,3/30/2021,
2019-64,201902,162,1,1,88.23,15.43,247.8,1.2601,2.2202,1.4608,1.2967,2.4968,1.469,3/30/2021,
2019-7,201901,162,193,1,83.34,13.34,NA,1.2544,2.2811,1.541,1.2801,2.3149,1.4194,3/17/2021,"missing L1 WL and L chela and R1 WL, took M from R2 WL"
2019-70,201901,162,180,1,65.21,NA,82.6,1.2889,2.1897,1.4339,1.2837,2.1538,1.4279,4/12/2021,
2019-8,201901,162,193,1,78.86,13.02,190.5,1.2777,2.3592,1.5571,1.2844,2.5032,1.4543,3/17/2021,
2019-9,201901,162,193,1,87.42,14.75,NA,1.2747,2.397,1.5115,1.272,2.4157,1.3924,3/17/2021,"missing L chela, L4WL and R2WL"
2019-100,201902,162,42,2,46.14,0,33.0826,1.2765,1.9381,1.3721,1.2708,1.8098,1.3656,4/26/2021,R123
2019-101,201902,162,42,2,41.34,0,25.3013,1.2602,1.9257,1.357,1.2595,1.9493,1.3835,4/26/2021,R123
2019-102,201902,162,42,2,42.58,0,22.7993,1.2643,1.7151,1.3617,1.2623,1.7012,1.3492,4/26/2021,R123
2019-103,201902,162,42,2,57.94,0,64.991,1.2594,2.5825,1.5471,1.2561,1.9024,1.3731,4/26/2021,
2019-104,201902,162,42,2,48.8,0,35.0991,1.2886,2.2122,1.5439,1.2604,1.8269,1.369,4/26/2021,
2019-105,201902,162,42,2,55.67,0,69.1909,1.2686,1.8291,1.3571,1.2718,2.0076,1.379,4/26/2021,
2019-106,201902,162,42,2,50.81,0,46.3826,1.3114,2.079,1.4539,1.3205,1.8993,1.4009,4/26/2021,
2019-107,201902,162,42,2,51.14,0,53.1445,1.3122,1.7866,1.4457,1.2762,1.9525,1.391,4/26/2021,
2019-108,201902,162,42,2,51.55,0,49.4136,1.259,1.786,1.3333,1.2799,1.9505,1.369,4/26/2021,
