"","formula","elpd_diff","se_diff"
"mod6","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 3) + s(julian, k = 3) + (1 | region)",0,0
"mod5","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 3) + s(julian, k = 3) + s(fourth.root.cpue, k = 3) + (1 | region)",-10.1199086297567,4.88435984482191
"mod4","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 3) + s(julian, k = 3) + s(temperature, k = 3) + (1 | region)",-13.461447178412,6.5850090109014
"mod3","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 3) + s(julian, k = 3) + s(temperature, k = 3) + s(fourth.root.cpue, k = 3) + (1 | region)",-18.1774455358196,6.01624120846094
"ebs_base_mod","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 3) + s(julian, k = 3) + fourth.root.cpue * temperature + (1 | region)",-19.293374720964,7.10254765393911
