"","formula","elpd_diff","se_diff"
"nbs4","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 4) + s(julian, k = 4) + (1 | region)",0,0
"nbs3","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 4) + s(julian, k = 4) + s(fourth.root.cpue, k = 4) + (1 | region)",-2.56688916401423,2.74514154359526
"nbs1","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 4) + s(julian, k = 4) + s(temperature, k = 4) + (1 | region)",-18.7010472370801,7.343245885951
"nbs2","Total_FA_Conc_WWT | trunc(lb = 0) ~ s(cw, k = 4) + s(julian, k = 4) + s(temperature, k = 4) + s(fourth.root.cpue, k = 4) + (1 | region)",-19.2003797124569,7.12920418982924
